,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
133,1610737587-2816,https://www.wblivesurf.com/reports/page/488/,08.29.2010,Swell Size: Chest/Shoulder/Occ. Bigger,9:56 AM / BY: sageisland,Water Surface: Choppy,1.5
134,1610737800-4063,https://www.wblivesurf.com/reports/page/410/,11.01.2013,Swell Size: Waist/Occ. Chest High,3:41 PM / BY: sageisland,Water Surface: Light Chop/Drifty,2.5
135,1610737592-2860,https://www.wblivesurf.com/reports/page/486/,09.19.2010,Swell Size: Chest/Head/ Plus High Sets,6:58 AM / BY: sageisland,Water Surface: Semi-Clean,1.5
136,1610739137-9549,https://www.wblivesurf.com/reports/page/67/,04.04.2020,Swell Size: Check Live Cam,8:28 AM / BY: surfreports,Water Surface: Check Live Cam,0.0
137,1610737817-4157,https://www.wblivesurf.com/reports/page/404/,01.10.2014,Swell Size: Thigh-Waist/Bigger Sets,10:09 AM / BY: sageisland,Water Surface: Bumpy,2.0
138,1610737438-2020,https://www.wblivesurf.com/reports/page/538/,11.25.2008,Swell Size: Thigh-Waist/ Rare Stomach,3:28 PM / BY: sageisland,Water Surface: Glassy,1.0
139,1610738568-7459,https://www.wblivesurf.com/reports/page/198/,10.08.2018,Swell Size: Thigh/Waist,3:46 PM / BY: surfreports,Water Surface: Choppy,0.0
140,1610738931-8773,https://www.wblivesurf.com/reports/page/116/,09.03.2019,Swell Size: Stomach-Shoulder High/Occ. Bigger,10:07 AM / BY: surfreports,Water Surface: Semi-Clean,3.0
141,1610737826-4217,https://www.wblivesurf.com/reports/page/401/,02.21.2014,Swell Size: Thigh/Waist/Occ. Bigger,3:37 PM / BY: sageisland,Water Surface: Light Bump/Chop,2.0
142,1610738211-6218,https://www.wblivesurf.com/reports/page/276/,11.18.2017,Swell Size: Shin-Knee/ Occ. Thigh High,10:08 AM / BY: surfreports,Water Surface: Bumpy,0.5
143,1610737356-1553,https://www.wblivesurf.com/reports/page/567/,07.10.2008,Swell Size: Waist-Stomach Groundswell,1:09 PM / BY: sageisland,Water Surface: Glassy,1.5
144,1610737461-2086,https://www.wblivesurf.com/reports/page/534/,01.07.2009,Swell Size: Thigh-Waist/ Occ. Bigger,3:25 PM / BY: sageisland,Water Surface: Choppy,1.0
145,1610738065-5472,https://www.wblivesurf.com/reports/page/322/,07.02.2016,Swell Size: Knee to Thigh High,12:30 PM / BY: sageisland,Water Surface: Semi Clean,1.0
146,1610738653-7760,https://www.wblivesurf.com/reports/page/179/,12.26.2018,Swell Size: Knee High,12:30 PM / BY: surfreports,Water Surface: Choppy,0.5
147,1610737712-3551,https://www.wblivesurf.com/reports/page/442/,01.30.2013,Swell Size: Thigh/Waist/Occ. Bigger,3:42 PM / BY: sageisland,Water Surface: Bumpy/Drifty,1.0
